Posto/Quadro/Qualificação; Nome;Nº Portaria;Data Portaria
SO QSS BET;Abcélvio Rodrigues;;12/06/1996
Doutor;Abdala Fábio Couri;;07/01/1966
Gen Ex;Abdias da Costa Ramos;;31/05/1989
SO QSS BMA;Abdias dos Santos Silva;271/SC;19/05/2011
1S QSS BSP;Abdias Francisco de Lima Filho;;31/05/1989
Jornalista;Abdias Silva;;16/06/1980
Gen Div;Abdon Sena;;14/07/1965
Doutor;Abeguar Machado Massera;;03/06/1992
Doutor;Abel Azevedo Caminha;;19/01/1957
Maj Esp CTA;Abel Braga Ribeiro;;16/06/1980
SO QSS STP;Abel Camilo Soares;649/SCGC;10/05/2018
Ten Cel Ex;Abel da Rocha Catuta;;17/06/1985
Maj QOAV;Abel de Castro Laudares;728/SCGC;13/05/2019
Cel Ex;Abel Machado;;17/06/1986
Senhor;Abel Mesquita Zambom;721/SCGC;29/05/2015
SO QSS SAD;Abel Rodrigues;;26/06/1968
Professor;Abel Rosato;;03/06/1992
Senhor;Abel Silveira Gomes;341/SC;25/05/2010
Doutor;Abelard França;;16/01/1957
Professor;Abelardo Arruda de Brito;;20/12/1961
Doutor;Abelardo Coimbra Bueno;;17/06/1987
SO QSS BMB;Abelardo de Lucena Dias;877/SCGC;30/05/2014
Professor;Abelardo F. Montenegro;;23/02/1962
Deputado Federal ;Abelardo Luiz Lupion Mello;968/SC;03/06/2013
General-de-Brigada;Abelardo Prisco de Souza Júnior;667/SC;22/06/2004
Maj Esp CTA;Aberaldo Luiz Rafs Machado;;17/06/1987
Civil;Abibe Ferreira Júnior;461/SC;25/05/2009
SO QSS BMA;Abílio Carvalho Pereira;;30/06/1978
SO QSS SGS;Abílio Corrêa de Souza;;15/07/1970
Senhor;Abílio da Silva;;01/07/1994
Senhor;Abílio de Almeida;;15/07/1969
Senhor;Abílio do Nascimento;;10/12/1957
Doutor;Abílio Machado Filho;;11/07/1969
Ten Cel Eng;Abílio Neves Garcia;341/SC;25/05/2010
Senhor;Abílio Ribeiro de Oliveira;400/SCC;12/06/1997
Ten Cel Ex;Abílio Salles Dória;;24/06/1974
Senhor;Abimar Sarmet Moreira;;11/05/1972
Suboficial (FN-IF);Abismael Gonçalves da Silva;423/SC;11/06/2008
Doutor;Abner Brígido Costa;;20/12/1961
1S QSS SGS;Abner da Silva Ribeiro;341/SC;25/05/2010
Coronel-de-Engenharia;Abner Gonçalves de Magalhães;271/SC;19/05/2011
Cel Eng;Abner Maciel de Castro;;05/06/1979
Cel Av;Abner Medeiros Correia;;17/06/1987
Cel Av;Abnner Nascimento Alves;410/SC;22/05/2001
SO QSS BMT;Abnorah Ferreira Paz Nunes Machado;;24/06/1974
Maj Méd;Abraham Abitbol;;30/06/1976
Cel Ex;Abraham Aharoni;;22/07/1980
2S QSS BMA;Abrahão Becker Pereira;;24/06/1974
SO QSS BEV;Abrahão Nascimento dos Santos;400/SCC;12/06/1997
1º Ten Adm;Abrahão Redig;;14/07/1965
SO QSS SAD;Acácio Alves Dutra;461/SC;25/05/2009
Senhor;Acácio Carlos Vieira;;16/06/1980
Cap Esp Met;Acácio Dória;;01/07/1971
SO QSS SAD;Acácio Ferreira de Carvalho;;14/12/1971
1S QSS SAD;Acácio Gonçalves de Freitas;;01/06/1988
Empresário;Acacio Rosa de Queiroz Filho;565/SCGC;23/05/2016
Senhor;Achiles Garcia Charles Astor;;28/06/1958
Vereador;Achiles Mendes;;03/06/1992
2S QSS BCO;Achiles Vieira da Gama Filho;;20/12/1961
Ministro Conselheiro;Achilles Emilio Zaluar Neto;341/SC;25/05/2010
1S QTA R/R;Acidezio Paulino Valentim;271/SC;19/05/2011
Maj Int;Acindino Simões da Fonseca;;24/06/1974
Ten Cel Méd;Acir Júlio Mangoni;;17/06/1985
Senhor;Acir Luiz de Almeida Padilha;;30/06/1977
1S QSS BMA;Ackison de Aquino e Silva;;30/06/1978
SO QSS SDE;Acólito Costa Silva;;16/06/1983
Gen Bda;Acrísio Figueira;;17/06/1986
CB QCB SEM;Acyr Alexandrino da Silva;;20/12/1961
Doutor;Acyr Costa Araújo;;16/06/1980
Cel Int;Acyr Martins Barbosa;;30/06/1977
3S QSS BMA;Acyr Passos;;01/07/1971
SO QSS SDE;Acyr Passos Filho;423/SC;11/06/2008
Engenheiro;Acyr Pitanga Seixas Filho;;01/07/1994
Senhora;Ada Rogato;;08/01/1957
Maj Eng;Adacir da Silva Ferreira;;16/06/1982
Maj Ex;Adacto Arthur Pereira de Mello;;26/07/1968
Ten Cel Esp Met;Adahil Francisco Gusmão;327/SCC;19/05/2000
Cap QOEA GDS;Adahilton Américo de Oliveira;388/SC;15/06/2007
Deputado;Adail Barreto;;17/07/1963
Senhor;Adail Carvalho Sandoval;;17/06/1985
Cel Av;Adail Coaracy de Aquino;;30/06/1975
Advogada;Adailma Medeiros;;01/07/1994
1S QSS SAD;Adaílson dos Santos;;16/06/1982
SO QSS BSP;Adaílton Batista da Paz;;03/06/1992
Cel Ex;Adaílton Sampaio Pirassinunga;;16/01/1957
Ten Cel Dent;Adair Batista Machado;327/SCC;19/05/2000
SO QSS SAD;Adair dos Santos Nazareth;;31/05/1990
SO QSS SGS;Adair Evangelista;;03/06/1992
Cel Av;Adair Geraldo Ribeiro;;26/06/1972
Ten Cel Ex;Adair Luiz Pereira;;11/06/1993
Senhor;Adair Ribeiro;;31/05/1991
2S QTA TAR;Adair Xavier Dias Filho;667/SC;22/06/2004
SO QSS BMB;Adair Zanon Denardin;408/SCC;23/06/1998
Senhor;Adalardo Pieruccetti Veloso;;16/06/1982
SO Mar;Adalberon Corrêa de Sena;;22/07/1980
Ten Cel Av;Adalbert Tayeiro Endo;;28/06/1973
Cel Int;Adalberto Alves Pedroza;408/SCC;23/06/1998
Senhor;Adalberto Andrade de Lucas;;13/10/1969
SO QSS BMB;Adalberto Andrade Leal;;01/06/1988
Comandante;Adalberto Araújo Silva;;15/06/1984
Senhor;Adalberto Baptista da Cruz;;31/05/1991
SO (FN-CN);Adalberto Blanco Gonçalves;341/SC;25/05/2010
SO QSS BMA ;Adalberto Bruzzio Martins Neto;798/SCGC;31/05/2017
Senhor;Adalberto Calçada da Rocha;;02/01/1963
Comandante (Rio Sul);Adalberto Cambauva Bogsan;410/SC;22/05/2001
1S (Ex);Adalberto da Silva Cruz Filho;;30/08/1967
Alte Esq;Adalberto de Barros Nunes;;01/07/1971
Gen Bda;Adalberto de Moura Campos;;03/06/1992
Maj Brig Ar Ref;Adalberto de Rezende Rocha;;30/06/1975
Maj Av;Adalberto de Rezende Rocha Junior;649/SCGC;10/05/2018
SO QSS BMA;Adalberto Fernandes;877/SCGC;30/05/2014
Doutor;Adalberto Ferreira do Valle;;20/01/1958
Cel Ex;Adalberto Fialho;;19/01/1957
Cel Av;Adalberto Fontoura Gomes;667/SC;22/06/2004
Senhor;Adalberto Gimenez de Oliveira;;28/06/1973
Cel Ex;Adalberto Gomes Macedo;;28/06/1973
Gen Div;Adalberto Imbrósio;410/SC;22/05/2001
Ten Cel Ex;Adalberto João Soares Pagani;;26/06/1972
2º Ten Esp Arm;Adalberto José Espírito Santo;;17/07/1963
Comandante;Adalberto Kovacs Nogueira;;16/06/1980
Maj Esp Com;Adalberto Mendonça Ferreira;;25/05/1995
Cap Esp Com;Adalberto Nunes Pires;;16/06/1983
1º Ten (Ex);Adalberto Penteado Duarte;;11/07/1966
Cel Inf;Adalberto Pereira da Silva Lima;;24/06/1974
Gen Ex;Adalberto Pereira dos Santos;;24/06/1974
Maj Av;Adalberto Sanchez Y Sanches;877/SCGC;30/05/2014
Maj Av ;Adalberto Santos Prado;968/SC;03/06/2013
Doutor;Adalberto Spagnuolo;;16/06/1981
Senhor;Adalberto Teles de Menezes;;16/01/1960
