,,,,,,
MEDALHA BARTOLOMEU DE GUSMÃO,,,,,,
,,,,,,
 RELAÇÃO DE AGRACIADOS ,,,,,,
,,,,,,
(Atualizada até março de 2018),,,,,,
,,,,,,
QUALIFICAÇÃO,NOME,PORTARIA,DATA,SIT,ORD,
Suboficial R/1,Abcélvio Rodrigues,968-A/SCC,14/12/1990,,,1
Senhor,Abdenago Teles da Silva Filho,106/SC,21/02/2007,,,1
Taifeiro-Mor QTA TCO,Abdenário Baptista dos Santos,1813/SCC,20/12/1984,,,1
Terceiro-Sargento,Abdias Barreto da Silva Neto,107/SC,25/02/2010,,,1
Suboficial QSS BMA,Abdias dos Santos Silva,113/SCC,28/02/2000,,,1
Primeiro-Sargento QSS BSP,Abdias Francisco de Lima Filho,1813/SCC,20/12/1984,,,1
Suboficial QSS BET,Abediel Ferreira Soares,107/SC,25/02/2009,,,1
Suboficial QSS BET,Abel Alves de Brito,193/SCC,20/02/1995,,,1
Suboficial QSS STP,Abel Camilo Soares,130/SCGC,03/02/2014,,,1
Primeiro-Sargento de Intendência,Abel Ewen de Araújo Filho,130/SCGC,03/02/2014,,,1
Cabo QCB SEM,Abel Gava,193/SCC,20/02/1995,,,1
Suboficial (AV),Abel Marques Ferreira dos Reis,247/SC,06/03/2006,,,1
Suboficial QSS BEI,Abel Palandi,100/SCC,20/02/1997,,,1
Senhor,Abelardo Augusto da Silva,931/SCC,12/12/1989,,,1
Suboficial (AV-CV),Abelardo da Paixão Santiago,107/SC,25/02/2010,,,1
Primeiro-Sargento BMB,Abelardo de Lucena Dias,81/SC,07/02/2011,,,1
Suboficial QSS BEI,Abelardo Hissashi Matida,141/SC,19/02/2002,,,1
Terceiro-Sargento QESA SGS,Abias Francisco Rodrigues,931/SCC,12/12/1989,,,1
Senhor,Abílio da Silva,092/SCC,20/01/1982,,,1
Cabo QCB BCO,Abilio Dias Pinto,98/SCC,18/02/1998,,,1
Terceiro-Sargento QSS ,Abilio Esteves de Brito,247/SC,06/03/2006,,,1
Senhor,Abílio Isaías,051/SCC,26/02/1993,,,1
Suboficial QSS BMA,Abílio Marques Filho,202/SC,18/02/2004,,,1
Taifeiro de Primeira Classe QTA SST,Abimael de Souza Silva,100/SCC,20/02/1997,,,1
Primeiro-Sargento (Ex),Abimael Ferreira de Lima,051/SCC,26/02/1993,,,1
Terceiro-Sargento QTA TAR,Abimael Ribeiro Andrade,202/SC,18/02/2004,,,1
Terceiro-Sargento QTA TAR,Abimael Ribeiro da Silva,6/SCGC,08/01/2018,,,1
Suboficial QSS SDE,Abinoam Praxedes Marques,116/SCC,20/01/1984,,,1
Primeiro-Sargento QSS SGS,Abner da Silva Ribeiro,245/SC,13/03/2003,,,1
Cabo QCB SAD,Abner Soares Duarte,80/SC,26/02/2008,,,1
Primeiro-Sargento QSS BCT,Abraão Caetano da Silva,29/SCGC,29/01/2016,,,1
Cabo QCB SAD,Abraão Lins de Albuquerque,931/SCC,12/12/1989,,,1
Terceiro-Sargento QC (DT),Abrahão Domingos da Silva,086/SCC,20/01/1983,,,1
Cabo QCB BCO,Abrahão Menezes da Silva,113/SC,22/02/2001,,,1
Primeiro-Sargento QSS BEV,Abrahão Nascimento dos Santos,193/SCC,20/02/1995,,,1
Cabo QCB SAD,Absayr Rocha Vaz,193/SCC,20/02/1995,,,1
Suboficial QSS SAD,Acácio Alves Dutra,247/SC,06/03/2006,,,1
Primeiro-Sargento QSS SAD,Acácio Gonçalves de Freitas,1057/SCC,20/12/1985,,,1
Primeiro-Sargento QSS SCF,Acacio Pinto Miranda,6/SCGC,08/01/2018,,,1
Suboficial QSS BCT,Acácio Vieira de Carvalho,160/SCC,16/03/1994,,,1
Primeiro-Tenente QOEA,Acari Kolle,086/SCC,20/01/1983,,,1
Primeiro-Sargento,Acidezio Paulino Valentim,107/SC,25/02/2009,,,1
Suboficial QSS BCO,Acídio Batista,90/SCC,22/02/1999,,,1
Terceiro-Sargento,Acir Evaristo da Silva,81/SC,07/02/2011,,,1
Suboficial QSS BCO,Aciuso Batista,90/SCC,22/02/1999,,,1
Primeiro-Sargento QSS STA,Acy José de Oliveira Marques,086/SCC,20/01/1983,,,1
Suboficial QSS SDE,Acyr Passos Filho,113/SC,22/02/2001,,,1
Primeiro-Tenente QOEA,Acyr Rodrigues Dietrich,047/SCC,20/01/1981,,,1
Primeiro-Sargento QSS BCO,Adahyl Barbosa,086/SCC,20/01/1983,,,1
Suboficial QSS BSP,Adaílton Batista da Paz,841/SCC,01/12/1988,,,1
Cabo QCB SAD,Adaílton David de Queiroz,051/SCC,26/02/1993,,,1
Taifeiro de Primeira Classe QTA TCO,Adailton Souza Borges,048/SCC,18/01/1996,,,1
Senhor,Adair Charles,202/SC,18/02/2004,,,1
Suboficial QSS SAD,Adair dos Santos Nazareth,1194/SCC,15/12/1986,,,1
Suboficial QSS SGS,Adair Evangelista,931/SCC,12/12/1989,,,1
Primeiro-Sargento QSS BEP,Adair José Fernandes,1.659/SCGC,21/12/2016,,,1
Senhor,Adair Lago,086/SCC,20/01/1983,,,1
Segundo-Sargento QTA TCO,Adair Lima Maia,107/SC,25/02/2009,,,1
Suboficial QTA TAR,Adair Xavier Dias Filho,870/SCC,20/12/1991,,,1
Suboficial QSS BMB,Adair Zanon Denardin,160/SCC,16/03/1994,,,1
Senhor,Adalberon Moura,968-A/SCC,14/12/1990,,,1
Suboficial QSS BCO,Adalberto Alves de Souza,931/SCC,12/12/1989,,,1
Segundo-Sargento QTA TAR,Adalberto Antonio Almeida Maia,247/SC,06/03/2006,,,1
Senhor,Adalberto Baptista da Cruz,841/SCC,01/12/1988,,,1
Primeiro-Sargento BMA,Adalberto Bruzzio Martins Neto,80/SC,26/02/2008,,,1
Suboficial QSS SAD,Adalberto Cordeiro de Souza,047/SCC,20/01/1981,,,1
Suboficial QSS SMU,Adalberto da Silva Barros,048/SCC,18/01/1996,,,1
Suboficial QSS BMA,Adalberto Fernandes,58/SC,14/02/2012,,,1
Primeiro-Sargento SCF,Adalberto Ferreira Luz,80/SC,26/02/2008,,,1
Primeiro-Sargento QSS SAD,Adalberto Francisco de Abreu,968-A/SCC,14/12/1990,,,1
Cabo QCB BSP,Adalberto Gomes de Sousa,58/SC,14/02/2012,,,1
Cabo QCB SGS,Adalberto José de Castro,58/SC,14/02/2012,,,1
Primeiro-Sargento de Engenharia,Adalberto Nascimento dos Santos,189/SC,07/02/2013,,,1
